               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10216,            0.031226,            0.053543,           0.0025812,             0.75751,           0.0054277,           0.0012879,             0.04534,              0.0226,            0.032077,              0.0802,              0.0022,              0.0022
                   1,            0.064421,            0.030036,            0.046152,           0.0032667,             0.97824,            0.054268,            0.019222,             0.03286,             0.01719,            0.031525,            0.059411,           0.0044109,           0.0044109
                   2,            0.058731,            0.023587,            0.043238,             0.24549,             0.44314,             0.24944,            0.090165,            0.032835,            0.011519,            0.030286,            0.038531,           0.0065307,           0.0065307
                   3,            0.055542,            0.020405,            0.041698,              0.1851,             0.50458,             0.33729,             0.16443,            0.030572,           0.0082974,            0.028473,            0.017559,           0.0085595,           0.0085595
                   4,            0.053453,            0.019379,             0.04216,             0.44404,             0.50965,             0.42655,             0.20983,            0.025415,           0.0079539,            0.027331,            0.009208,            0.009208,            0.009208
                   5,            0.049697,            0.018412,            0.041527,             0.13378,             0.43521,             0.19154,            0.055953,            0.040167,           0.0091455,            0.027232,            0.009208,            0.009208,            0.009208
                   6,            0.045733,            0.015356,            0.033977,             0.31918,             0.55406,             0.40375,             0.19953,            0.024604,           0.0089661,            0.026866,             0.00901,             0.00901,             0.00901
                   7,            0.047313,             0.01562,            0.038827,             0.37545,             0.57724,             0.41537,             0.21279,            0.023981,           0.0079753,            0.025441,            0.008812,            0.008812,            0.008812
                   8,            0.043188,             0.01404,             0.03672,             0.25546,             0.72823,              0.4681,             0.23103,            0.029411,           0.0066722,            0.022415,            0.008614,            0.008614,            0.008614
                   9,            0.039057,            0.014141,            0.034629,             0.32821,             0.61922,             0.50087,             0.27842,            0.026289,           0.0067963,            0.021202,            0.008416,            0.008416,            0.008416
                  10,            0.037547,            0.013965,            0.031577,             0.53813,             0.70724,             0.71017,             0.41896,            0.021154,           0.0059956,            0.018962,            0.008218,            0.008218,            0.008218
                  11,            0.038968,            0.013145,            0.030354,             0.45245,              0.8046,             0.69173,             0.36619,            0.027545,           0.0059176,            0.016487,             0.00802,             0.00802,             0.00802
                  12,            0.040713,            0.013127,            0.029269,             0.52428,             0.81846,             0.73942,             0.43839,            0.026063,           0.0054846,            0.017053,            0.007822,            0.007822,            0.007822
                  13,            0.037101,            0.012254,            0.024488,             0.60645,             0.71104,              0.7787,             0.49615,            0.020742,           0.0056445,            0.016992,            0.007624,            0.007624,            0.007624
                  14,            0.039547,            0.013149,            0.024981,             0.64008,              0.7238,             0.78442,             0.42207,            0.020521,           0.0064816,            0.020158,            0.007426,            0.007426,            0.007426
                  15,            0.038247,             0.01247,             0.02324,             0.69177,             0.83001,             0.85024,             0.54189,             0.01905,           0.0056472,            0.014804,            0.007228,            0.007228,            0.007228
                  16,            0.039084,            0.012109,            0.022002,             0.73434,             0.85613,             0.89346,             0.53786,            0.019856,           0.0054948,            0.010857,             0.00703,             0.00703,             0.00703
                  17,            0.034471,            0.011349,            0.021558,             0.72325,             0.85799,             0.91287,             0.58885,            0.020522,           0.0059505,            0.014266,            0.006832,            0.006832,            0.006832
                  18,            0.037341,             0.01211,            0.023384,              0.8203,              0.9167,             0.95763,             0.62139,             0.02022,           0.0052613,           0.0085901,            0.006634,            0.006634,            0.006634
                  19,             0.03426,             0.01178,            0.021102,             0.75405,             0.94787,             0.94967,             0.62559,            0.020029,           0.0055586,           0.0081336,            0.006436,            0.006436,            0.006436
                  20,            0.033716,            0.011877,            0.018464,             0.71371,             0.88891,             0.88598,             0.52289,            0.023825,           0.0067728,             0.01131,            0.006238,            0.006238,            0.006238
                  21,            0.034032,            0.011624,            0.018876,             0.74935,             0.88589,             0.92483,             0.62362,            0.018241,           0.0054347,            0.011292,             0.00604,             0.00604,             0.00604
                  22,            0.033844,            0.011566,            0.016134,             0.84666,             0.72813,             0.91799,             0.55004,            0.021695,           0.0054631,            0.014974,            0.005842,            0.005842,            0.005842
                  23,            0.032801,            0.011491,            0.015649,             0.87873,              0.8009,             0.93105,              0.6221,            0.017313,            0.005452,            0.011175,            0.005644,            0.005644,            0.005644
                  24,            0.032973,            0.011944,            0.013693,             0.94947,              0.9611,             0.98124,             0.68923,            0.016595,           0.0050883,           0.0052395,            0.005446,            0.005446,            0.005446
                  25,            0.033919,            0.012106,            0.016134,             0.94958,             0.98112,             0.99269,             0.66859,            0.019249,           0.0049431,           0.0033776,            0.005248,            0.005248,            0.005248
                  26,            0.030741,            0.011592,            0.012075,             0.92977,             0.93387,              0.9744,             0.67157,            0.018199,           0.0050653,           0.0062752,             0.00505,             0.00505,             0.00505
                  27,            0.031545,            0.011083,            0.013737,             0.92194,             0.96571,             0.98557,             0.64922,            0.020044,           0.0049667,            0.004329,            0.004852,            0.004852,            0.004852
                  28,            0.033056,            0.010995,            0.015533,             0.94222,             0.97398,             0.98865,             0.70538,            0.016461,           0.0050939,           0.0041436,            0.004654,            0.004654,            0.004654
                  29,            0.030758,            0.010306,            0.013143,             0.95293,             0.95335,             0.99089,             0.68485,            0.017299,            0.005045,           0.0034364,            0.004456,            0.004456,            0.004456
                  30,            0.029955,            0.010295,            0.012176,             0.93463,             0.98475,             0.98797,             0.70728,            0.015881,           0.0050533,           0.0040909,            0.004258,            0.004258,            0.004258
