               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10128,             0.03115,            0.053495,           0.0025731,             0.72036,           0.0064362,           0.0017835,            0.050278,            0.024033,            0.031649,              0.0802,              0.0022,              0.0022
                   1,            0.063906,            0.029979,            0.046132,            0.003467,                   1,             0.07611,            0.019085,            0.032162,            0.019509,            0.030445,            0.059411,           0.0044109,           0.0044109
                   2,            0.059154,            0.023235,            0.043205,             0.17635,             0.47398,             0.22209,            0.075663,            0.033254,            0.014192,            0.030355,            0.038531,           0.0065307,           0.0065307
                   3,            0.057194,             0.02004,            0.042864,              0.1817,             0.52399,             0.27817,             0.11979,            0.038196,           0.0097185,            0.028761,            0.017559,           0.0085595,           0.0085595
                   4,            0.053073,            0.019538,            0.042171,             0.23952,             0.45207,             0.27088,            0.094018,            0.032948,           0.0094259,            0.026598,            0.009208,            0.009208,            0.009208
                   5,            0.051217,            0.018053,            0.040861,             0.25723,             0.57357,             0.33871,             0.15068,            0.030924,            0.008589,            0.026893,            0.009208,            0.009208,            0.009208
                   6,            0.045075,            0.015312,            0.034505,             0.17846,             0.39647,             0.28295,              0.1396,            0.025784,            0.010369,            0.026103,             0.00901,             0.00901,             0.00901
                   7,            0.045341,            0.015793,            0.038521,             0.28972,             0.75303,             0.48018,              0.2512,            0.025503,           0.0070335,            0.024669,            0.008812,            0.008812,            0.008812
                   8,            0.043259,            0.013904,            0.036658,             0.26194,             0.42699,             0.34707,             0.17141,             0.02415,           0.0083907,             0.02581,            0.008614,            0.008614,            0.008614
                   9,            0.039656,             0.01386,             0.03706,             0.28374,              0.4957,             0.34001,            0.099789,            0.033285,            0.007643,             0.02662,            0.008416,            0.008416,            0.008416
                  10,            0.038893,            0.014127,            0.034386,             0.36485,             0.50219,             0.42895,             0.19957,            0.025877,           0.0076295,            0.022986,            0.008218,            0.008218,            0.008218
                  11,            0.037223,            0.013068,            0.033675,             0.29617,             0.59784,             0.40857,              0.1553,            0.027602,           0.0076193,            0.024442,             0.00802,             0.00802,             0.00802
                  12,             0.04139,            0.013006,            0.032096,             0.48222,             0.66138,             0.59528,             0.34968,            0.018748,           0.0075299,            0.021645,            0.007822,            0.007822,            0.007822
                  13,            0.037378,            0.012054,            0.027086,             0.54351,             0.48186,             0.49588,             0.23472,            0.026248,           0.0090953,            0.021949,            0.007624,            0.007624,            0.007624
                  14,            0.037968,            0.012863,            0.026828,             0.78171,             0.70782,             0.79933,             0.52354,            0.018233,             0.00569,            0.014551,            0.007426,            0.007426,            0.007426
                  15,            0.038541,            0.012129,            0.025833,             0.78029,             0.77863,             0.83162,             0.54472,             0.01796,           0.0059138,            0.013177,            0.007228,            0.007228,            0.007228
                  16,            0.037244,            0.011897,            0.023801,             0.54882,             0.75107,             0.75229,             0.44197,            0.020365,           0.0060543,            0.017092,             0.00703,             0.00703,             0.00703
                  17,             0.03321,            0.011132,            0.022066,             0.71101,             0.77955,             0.85153,             0.58518,            0.016782,           0.0058053,            0.013118,            0.006832,            0.006832,            0.006832
                  18,            0.037302,            0.012269,             0.02399,             0.76108,             0.88038,             0.89695,             0.61388,            0.020085,           0.0056402,            0.010428,            0.006634,            0.006634,            0.006634
                  19,            0.035283,            0.011752,            0.021303,              0.7316,             0.90559,             0.92285,             0.63499,            0.020266,           0.0059986,            0.010158,            0.006436,            0.006436,            0.006436
                  20,            0.033245,            0.011704,            0.019647,             0.79067,             0.96472,             0.96077,             0.62563,            0.020244,           0.0054743,           0.0081946,            0.006238,            0.006238,            0.006238
                  21,            0.034264,            0.011395,            0.020154,             0.78617,             0.90789,             0.93546,             0.65581,            0.015356,           0.0053776,           0.0084861,             0.00604,             0.00604,             0.00604
                  22,            0.033822,            0.011626,            0.018103,             0.82384,             0.93757,             0.95004,             0.68412,            0.016984,           0.0050039,           0.0078163,            0.005842,            0.005842,            0.005842
                  23,            0.031611,            0.011567,            0.018829,             0.89068,             0.96209,             0.97995,             0.63743,            0.018962,           0.0054794,           0.0064854,            0.005644,            0.005644,            0.005644
                  24,            0.031679,            0.011676,            0.015971,             0.87532,             0.90952,             0.96772,             0.68268,            0.016489,           0.0053845,           0.0066265,            0.005446,            0.005446,            0.005446
                  25,            0.033301,            0.012016,             0.01656,             0.76437,              0.8503,             0.91036,             0.62805,            0.020079,           0.0054167,           0.0079226,            0.005248,            0.005248,            0.005248
                  26,              0.0315,             0.01178,            0.014221,             0.77663,             0.87061,             0.90663,             0.62168,             0.01617,           0.0053321,            0.010209,             0.00505,             0.00505,             0.00505
                  27,            0.030596,            0.011116,              0.0167,             0.92542,             0.95046,             0.96701,             0.67754,            0.014865,           0.0053218,           0.0064469,            0.004852,            0.004852,            0.004852
                  28,            0.032173,            0.011088,            0.017755,             0.77394,             0.88605,              0.9137,             0.64603,            0.017582,           0.0056296,            0.014702,            0.004654,            0.004654,            0.004654
                  29,            0.030146,            0.010522,            0.014749,             0.91018,             0.96852,             0.98095,             0.70168,            0.017124,           0.0051602,           0.0039169,            0.004456,            0.004456,            0.004456
                  30,            0.030006,            0.010403,            0.012832,             0.88531,             0.93273,             0.96305,             0.66282,             0.01679,           0.0054314,            0.006561,            0.004258,            0.004258,            0.004258
                  31,            0.029235,            0.010236,            0.011627,             0.97115,             0.96501,             0.98757,             0.71383,            0.015757,           0.0048316,           0.0031021,             0.00406,             0.00406,             0.00406
