               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093244,            0.020951,            0.049675,           0.0028251,             0.83832,            0.020739,           0.0041929,            0.067135,            0.014749,            0.043633,            0.070169,           0.0033146,           0.0033146
                   1,            0.069817,            0.022665,            0.045409,             0.12186,             0.25496,             0.24365,            0.087488,            0.055443,            0.011877,            0.040979,            0.040004,           0.0064834,           0.0064834
                   2,            0.066548,            0.019067,            0.043127,             0.20258,             0.28474,             0.29925,             0.11402,            0.047282,            0.011508,            0.037697,           0.0096745,           0.0094872,           0.0094872
                   3,            0.056943,            0.018139,             0.04169,             0.20266,              0.4532,             0.29843,             0.11299,            0.047863,            0.011177,            0.037049,           0.0092575,           0.0092575,           0.0092575
                   4,             0.05532,            0.017996,            0.041522,             0.21842,              0.4372,             0.36509,             0.16242,            0.040728,            0.010162,             0.03562,           0.0092575,           0.0092575,           0.0092575
                   5,            0.048279,            0.015704,            0.039871,             0.28414,             0.63383,             0.47714,             0.24629,            0.035025,           0.0092291,            0.035068,             0.00901,             0.00901,             0.00901
                   6,            0.047343,            0.014551,            0.039394,             0.31962,             0.65149,              0.5344,             0.29943,            0.028732,           0.0084692,             0.03384,           0.0087625,           0.0087625,           0.0087625
                   7,             0.04067,            0.013737,            0.037786,             0.35629,             0.56134,             0.57493,             0.33563,            0.030244,           0.0076778,            0.032055,            0.008515,            0.008515,            0.008515
                   8,            0.041138,            0.012527,            0.037262,             0.40351,              0.6844,             0.59462,             0.30893,            0.031228,           0.0072203,            0.030082,           0.0082675,           0.0082675,           0.0082675
                   9,            0.040769,            0.012304,            0.035736,             0.44624,              0.6891,              0.6108,             0.31196,            0.029163,            0.006935,            0.029365,             0.00802,             0.00802,             0.00802
                  10,            0.039296,            0.012952,            0.035399,             0.44897,             0.81979,             0.68713,             0.40777,            0.026085,           0.0064208,            0.027262,           0.0077725,           0.0077725,           0.0077725
                  11,             0.03709,            0.011978,            0.034022,              0.4535,             0.79906,             0.74409,             0.36404,            0.031228,           0.0063418,            0.025452,            0.007525,            0.007525,            0.007525
                  12,             0.03647,            0.012106,            0.030809,             0.87792,             0.63215,             0.78627,               0.478,            0.027102,           0.0061101,            0.024817,           0.0072775,           0.0072775,           0.0072775
                  13,            0.036233,            0.011622,            0.030153,             0.62645,              0.7605,             0.82845,             0.47695,            0.027249,           0.0062852,            0.021697,             0.00703,             0.00703,             0.00703
                  14,            0.034729,            0.011804,            0.028445,             0.69354,             0.86199,             0.85857,             0.55803,            0.024663,           0.0062852,            0.020591,           0.0067825,           0.0067825,           0.0067825
                  15,            0.033668,            0.011292,            0.025729,             0.66239,             0.86675,              0.8862,             0.52943,            0.026872,           0.0059388,            0.021481,            0.006535,            0.006535,            0.006535
                  16,            0.032859,            0.011663,            0.025109,             0.74009,             0.90979,             0.94219,             0.52608,            0.027243,           0.0059024,            0.017803,           0.0062875,           0.0062875,           0.0062875
                  17,            0.033368,            0.010603,            0.023944,             0.84917,              0.8687,             0.96944,             0.61034,            0.025087,            0.005636,             0.01577,             0.00604,             0.00604,             0.00604
                  18,            0.032001,            0.011011,            0.023511,             0.84852,             0.86415,             0.96324,             0.68072,            0.022784,           0.0056508,            0.014574,           0.0057925,           0.0057925,           0.0057925
                  19,            0.030832,            0.010623,             0.02154,             0.85598,             0.97186,             0.98842,             0.63832,            0.024462,           0.0056659,            0.011706,            0.005545,            0.005545,            0.005545
                  20,            0.030166,            0.010231,            0.019712,              0.7905,             0.94603,             0.97435,             0.63166,            0.024732,           0.0056721,            0.011079,           0.0052975,           0.0052975,           0.0052975
                  21,            0.029965,            0.010668,            0.019639,             0.90877,             0.96981,             0.98541,             0.67111,            0.025707,           0.0056645,            0.010315,             0.00505,             0.00505,             0.00505
                  22,            0.030697,            0.010338,            0.018006,             0.94186,             0.93175,             0.98007,              0.6806,            0.021324,           0.0056228,           0.0099621,           0.0048025,           0.0048025,           0.0048025
                  23,            0.028765,            0.010427,            0.017166,             0.90578,             0.95313,             0.97791,             0.66675,            0.022581,           0.0056917,           0.0098344,            0.004555,            0.004555,            0.004555
                  24,            0.029637,            0.010757,            0.016852,             0.95517,             0.97396,             0.97931,             0.66285,            0.021534,            0.005523,           0.0081161,           0.0043075,           0.0043075,           0.0043075
                  25,            0.028739,            0.010703,            0.015889,             0.95223,             0.95739,             0.97049,             0.66607,            0.022308,           0.0055706,           0.0085066,             0.00406,             0.00406,             0.00406
                  26,            0.027716,            0.010541,            0.015301,             0.96174,             0.96938,             0.98603,             0.70382,            0.021744,           0.0055032,           0.0072433,           0.0038125,           0.0038125,           0.0038125
