               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10459,            0.016135,                   0,            0.034823,                   1,             0.20067,            0.068455,              0.0711,            0.012249,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.09223,            0.015092,                   0,            0.037587,                   1,             0.20708,            0.081574,            0.070475,            0.012362,                   0,            0.093631,           0.0006307,           0.0006307
                   2,            0.089671,            0.014071,                   0,            0.074289,                   1,             0.56643,             0.10718,            0.070038,            0.012483,                   0,            0.089882,           0.0008822,           0.0008822
                   3,             0.10365,            0.016522,                   0,            0.074289,                   1,             0.56643,             0.10718,            0.070038,            0.012483,                   0,            0.086055,           0.0010545,           0.0010545
                   4,            0.086031,            0.016916,                   0,            0.028017,                   1,             0.56167,             0.12007,              0.0696,            0.012647,                   0,            0.082148,           0.0011476,           0.0011476
                   5,              0.0813,            0.011929,                   0,            0.028017,                   1,             0.56167,             0.12007,              0.0696,            0.012647,                   0,            0.078162,           0.0011615,           0.0011615
                   6,            0.066589,            0.013038,                   0,             0.01268,                   1,             0.53848,              0.1856,            0.068895,            0.012863,                   0,            0.074096,           0.0010962,           0.0010962
                   7,             0.11171,            0.018309,                   0,             0.01268,                   1,             0.53848,              0.1856,            0.068895,            0.012863,                   0,            0.069952,           0.0009517,           0.0009517
                   8,             0.10121,            0.015704,                   0,             0.01268,                   1,             0.53848,              0.1856,            0.068895,            0.012863,                   0,            0.065728,            0.000728,            0.000728
                   9,             0.11393,             0.01767,                   0,           0.0099989,                   1,             0.66333,             0.20275,            0.071198,            0.012814,                   0,            0.061425,           0.0004251,           0.0004251
