               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10138,            0.031145,            0.053521,           0.0022942,             0.57516,           0.0049995,           0.0010774,            0.049553,            0.024678,            0.031499,              0.0802,              0.0022,              0.0022
                   1,            0.064211,             0.03007,            0.046387,           0.0032175,             0.98824,             0.06415,             0.01756,            0.036967,            0.020126,            0.030473,            0.059455,           0.0044554,           0.0044554
                   2,            0.058049,            0.023893,            0.043165,             0.34029,             0.46062,             0.40833,             0.15349,            0.027895,            0.015902,            0.027746,            0.038665,           0.0066654,           0.0066654
                   3,             0.05536,            0.020534,            0.042754,             0.31209,             0.41944,             0.38137,             0.15026,            0.044281,           0.0097622,            0.027246,             0.01783,           0.0088297,           0.0088297
                   4,            0.053465,            0.019533,             0.04179,             0.38654,             0.17259,             0.21386,            0.090209,            0.032969,            0.012034,            0.026968,            0.009604,            0.009604,            0.009604
                   5,             0.05324,            0.017878,             0.03965,             0.25981,              0.5337,             0.46366,             0.24166,            0.037399,           0.0077717,            0.023576,            0.009604,            0.009604,            0.009604
                   6,            0.048883,            0.014942,            0.034295,             0.33439,             0.65433,             0.44997,             0.20532,            0.028883,           0.0071198,            0.022606,            0.009505,            0.009505,            0.009505
                   7,             0.04829,             0.01536,            0.037614,              0.3031,             0.48867,             0.48856,             0.23822,            0.026915,           0.0071428,            0.022806,            0.009406,            0.009406,            0.009406
                   8,            0.042645,            0.013848,             0.03794,             0.24502,             0.55669,             0.39988,             0.18891,            0.028168,           0.0068215,            0.022153,            0.009307,            0.009307,            0.009307
                   9,            0.040584,             0.01384,            0.036871,             0.22641,             0.59804,             0.43074,             0.21999,            0.037393,           0.0061833,            0.020777,            0.009208,            0.009208,            0.009208
                  10,            0.038977,            0.013405,            0.034382,             0.37188,              0.5907,             0.55067,             0.30672,            0.028148,           0.0065977,            0.022994,            0.009109,            0.009109,            0.009109
                  11,            0.037922,            0.012644,              0.0316,              0.2998,             0.54248,             0.49058,             0.21373,            0.027066,           0.0076859,            0.016988,             0.00901,             0.00901,             0.00901
                  12,            0.041758,            0.013019,            0.032682,             0.55897,             0.56389,             0.64439,             0.39372,            0.021075,           0.0061566,            0.014747,            0.008911,            0.008911,            0.008911
                  13,            0.038097,             0.01226,            0.026639,             0.53146,             0.87164,             0.70782,              0.4249,            0.022379,           0.0061359,            0.015316,            0.008812,            0.008812,            0.008812
                  14,            0.040493,            0.012855,            0.027416,             0.49117,             0.77644,             0.75305,             0.45501,            0.020941,           0.0067149,            0.018349,            0.008713,            0.008713,            0.008713
                  15,            0.039179,            0.012377,            0.026447,             0.50514,              0.7263,             0.75157,             0.46113,             0.02147,            0.006889,            0.014016,            0.008614,            0.008614,            0.008614
                  16,            0.039807,             0.01228,            0.024739,             0.50139,               0.631,             0.58246,             0.35158,            0.023795,           0.0081564,             0.02436,            0.008515,            0.008515,            0.008515
                  17,             0.03585,            0.011782,            0.022739,             0.85881,             0.75381,             0.79346,             0.51954,            0.020079,           0.0058712,            0.008288,            0.008416,            0.008416,            0.008416
                  18,            0.038195,            0.012556,             0.02543,             0.68695,             0.87574,             0.85657,             0.59361,            0.016671,            0.005737,           0.0077019,            0.008317,            0.008317,            0.008317
                  19,            0.035408,              0.0122,            0.023465,             0.90879,               0.726,             0.84345,             0.51676,            0.021795,           0.0063381,           0.0072664,            0.008218,            0.008218,            0.008218
                  20,             0.03327,            0.012034,            0.021696,             0.77051,              0.9708,              0.9312,             0.57176,            0.022288,           0.0055557,           0.0059183,            0.008119,            0.008119,            0.008119
                  21,            0.036732,            0.011765,            0.022418,             0.69707,              0.8888,             0.90362,             0.53455,            0.018676,           0.0057118,            0.013636,             0.00802,             0.00802,             0.00802
                  22,            0.038074,            0.012023,            0.019836,              0.7954,             0.76838,             0.79087,             0.41497,            0.026342,           0.0082186,           0.0075977,            0.007921,            0.007921,            0.007921
                  23,            0.034607,            0.011959,            0.019548,             0.89919,             0.96438,             0.97717,             0.61329,            0.020085,           0.0066152,           0.0057257,            0.007822,            0.007822,            0.007822
                  24,            0.036316,            0.012112,            0.016548,             0.91675,             0.97647,             0.98231,             0.67889,            0.018216,           0.0057557,           0.0045998,            0.007723,            0.007723,            0.007723
                  25,            0.036808,            0.012422,            0.017431,             0.79135,             0.97647,             0.94654,             0.65759,            0.018274,            0.005312,           0.0054583,            0.007624,            0.007624,            0.007624
                  26,            0.034298,            0.012086,            0.014275,             0.87195,              0.9595,             0.95067,             0.61752,            0.019915,           0.0055976,            0.006881,            0.007525,            0.007525,            0.007525
                  27,            0.036097,            0.011394,            0.015687,             0.70528,             0.75767,             0.77441,             0.50883,            0.017865,            0.006573,            0.017052,            0.007426,            0.007426,            0.007426
                  28,            0.037543,            0.011478,            0.016684,             0.93805,             0.97647,              0.9798,             0.73348,            0.016677,           0.0054276,           0.0046182,            0.007327,            0.007327,            0.007327
                  29,            0.033127,            0.010795,            0.017193,             0.95954,             0.91978,              0.9723,             0.71182,            0.017979,           0.0055035,           0.0057104,            0.007228,            0.007228,            0.007228
                  30,            0.035503,             0.01095,            0.014405,             0.94433,              0.9285,             0.97754,             0.68715,            0.016713,           0.0054599,           0.0046614,            0.007129,            0.007129,            0.007129
                  31,            0.032965,            0.010713,            0.013444,             0.96759,             0.96341,             0.99429,             0.69232,            0.016589,           0.0055304,           0.0024119,             0.00703,             0.00703,             0.00703
                  32,            0.034858,            0.011342,            0.012193,              0.9859,                   1,               0.995,             0.69383,            0.018995,           0.0053997,           0.0012156,            0.006931,            0.006931,            0.006931
                  33,            0.032909,            0.011509,             0.01249,             0.98807,             0.99954,               0.995,             0.73103,            0.016038,           0.0052886,           0.0011979,            0.006832,            0.006832,            0.006832
                  34,            0.035913,            0.011886,            0.014945,             0.83652,             0.94087,             0.91852,               0.645,             0.01697,           0.0055783,           0.0041486,            0.006733,            0.006733,            0.006733
                  35,            0.034372,            0.011333,            0.013613,             0.89452,             0.95657,             0.99273,             0.69902,            0.017193,           0.0056503,           0.0029418,            0.006634,            0.006634,            0.006634
                  36,            0.033546,            0.012338,            0.013868,              0.9512,             0.97469,               0.995,             0.74923,            0.016246,           0.0053562,           0.0024171,            0.006535,            0.006535,            0.006535
                  37,            0.032404,            0.011578,            0.011792,             0.96876,              0.9668,               0.995,             0.73834,            0.015669,           0.0052794,           0.0017155,            0.006436,            0.006436,            0.006436
                  38,            0.030132,            0.011795,            0.012456,             0.88692,             0.95312,             0.98873,             0.68534,            0.016355,           0.0056929,           0.0042531,            0.006337,            0.006337,            0.006337
                  39,            0.029396,            0.011159,            0.012489,             0.81816,             0.80517,             0.82641,              0.5453,            0.018134,           0.0066553,           0.0061458,            0.006238,            0.006238,            0.006238
                  40,            0.032668,            0.011702,            0.014028,             0.86846,             0.91742,             0.94273,             0.64577,            0.016337,           0.0055306,            0.003041,            0.006139,            0.006139,            0.006139
                  41,            0.035128,            0.010911,            0.013277,             0.88251,             0.94739,               0.995,             0.68882,            0.015932,           0.0058161,           0.0030274,             0.00604,             0.00604,             0.00604
                  42,             0.03176,            0.010655,            0.011377,             0.88167,             0.95499,              0.9913,             0.72433,            0.014448,            0.005215,           0.0047925,            0.005941,            0.005941,            0.005941
                  43,            0.031281,            0.011123,           0.0085706,             0.89614,             0.95334,             0.99183,             0.72237,            0.015549,           0.0054463,           0.0019587,            0.005842,            0.005842,            0.005842
                  44,            0.028573,            0.010407,           0.0076893,             0.97595,             0.96795,               0.995,             0.68878,            0.017608,           0.0055353,            0.001277,            0.005743,            0.005743,            0.005743
                  45,            0.032188,            0.010804,           0.0089457,             0.98914,             0.98682,               0.995,             0.74181,            0.015189,           0.0050319,           0.0013605,            0.005644,            0.005644,            0.005644
                  46,            0.028711,            0.010617,            0.010965,             0.96693,              0.9849,               0.995,             0.74004,            0.016016,            0.004979,            0.001605,            0.005545,            0.005545,            0.005545
                  47,             0.03206,            0.010591,            0.010607,             0.92227,             0.99114,              0.9928,             0.67051,            0.015993,           0.0060457,           0.0025678,            0.005446,            0.005446,            0.005446
                  48,            0.029591,            0.010062,           0.0075992,             0.93485,             0.98827,             0.99378,             0.68811,            0.016668,           0.0052612,           0.0014518,            0.005347,            0.005347,            0.005347
                  49,            0.032245,            0.010797,           0.0097099,             0.90549,             0.92619,               0.995,             0.68022,            0.017073,           0.0056891,           0.0033298,            0.005248,            0.005248,            0.005248
                  50,            0.030498,            0.010723,           0.0091165,             0.93669,             0.90049,             0.98689,             0.74112,            0.015891,           0.0055088,           0.0065896,            0.005149,            0.005149,            0.005149
                  51,              0.0288,            0.010157,             0.01012,             0.97325,              0.9452,               0.991,             0.71153,            0.015179,           0.0054113,           0.0019492,             0.00505,             0.00505,             0.00505
                  52,            0.029879,            0.011116,            0.012081,             0.95637,             0.98929,               0.995,              0.7328,             0.01474,           0.0049461,            0.001395,            0.004951,            0.004951,            0.004951
                  53,            0.029877,            0.010987,           0.0090809,             0.91202,             0.87604,             0.98391,             0.73836,            0.015537,           0.0055227,            0.003988,            0.004852,            0.004852,            0.004852
                  54,            0.028624,            0.010402,            0.008707,             0.97686,              0.9965,               0.995,             0.74177,            0.015753,           0.0050943,           0.0010391,            0.004753,            0.004753,            0.004753
                  55,            0.028849,            0.010064,           0.0088365,             0.97345,             0.98831,               0.995,             0.70727,            0.015391,           0.0051917,          0.00076548,            0.004654,            0.004654,            0.004654
                  56,            0.027884,           0.0095003,           0.0082925,             0.94029,             0.96495,               0.995,             0.70988,            0.016086,           0.0058081,           0.0013522,            0.004555,            0.004555,            0.004555
                  57,            0.030265,           0.0097131,           0.0073977,             0.93591,             0.98027,               0.995,             0.71713,            0.014916,           0.0055436,           0.0020797,            0.004456,            0.004456,            0.004456
